X,Y,LATITUDE,LONGITUDE,FACILITY_NAME,LEA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY,ACTIVITY_DESCRIPTION,COMMERCIAL_OR_NON-COMMERCIAL,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,X_ITM,Y_ITM,OBJECT_ID
-694817.2997,7068037.732,53.457298,-6.24165,River Valley Park Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No wheelchair access,Children and parents,716773.3083,746688.0974,147
-690800.5585,7097779.709,53.616083,-6.205567,Dun Saithne Play Area,LEA-5 - Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,"Gated access,",Children and parents,718724.2575,764414.2707,148
-689346.8373,7097124.422,53.612591,-6.192508,Chapel Estate Play Area,LEA-5 - Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Young kids and parents,719598.0601,764047.6151,149
-685360.375,7091972.4,53.585126,-6.156697,Ardgillan Demense Play Area,LEA-5 - Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,Kids,722046.5164,761052.633,150
-679276.2082,7092039.909,53.585486,-6.102042,Red Island Play Area,LEA-5 - Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes with wheelchair access,Kids and parents,725663.8136,761187.788,151
-687251.1366,7073514.531,53.486582,-6.173682,Newbridge House Playground,LEA-5 - Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,Children and parents,721203.1963,750059.6653,152
-693826.8902,7066435.842,53.448729,-6.232753,Boro Court Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,717387.742,745749.324,153
-691408.029,7065908.741,53.445909,-6.211024,Holywell Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes for all,Children and parents,718838.8075,745471.5646,154
-691362.722,7065270.846,53.442496,-6.210617,Holywell Crescent Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes,Children and parents,718875.3706,745092.5165,155
-694971.6998,7068421.569,53.459351,-6.243037,Ward River Valley Park Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,https://bit.ly/2K6N1LO,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Children and parents,716675.5758,746914.2427,156
-693656.5714,7071006.637,53.473175,-6.231223,Applewood Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,www.fingalcoco.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Gated access,Could not be fully determined on visit,717421.8786,748471.6934,157
-697529.3431,7079066.891,53.5162494,-6.2660127,Ballyboughal Doorage Play Area,LEA-5 - Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes available for everyone,kids,714995.9216,753207.4373,158
-689956.4228,7097147.315,53.612713,-6.197984,Moyleigh Road Play Area,LEA-5 - Balbriggan,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Wheelchair access,Kids and parents,719235.4159,764051.999,159
-687908.0329,7080968.254,53.526404,-6.179583,Dun Emer Playground,LEA-5 - Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Kids,720698.4102,754480.2161,160
-677086.2199,7080349.37,53.523099,-6.082369,Harbour Park Playground,LEA-5 - Lusk-Rush,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,http://www.fingal.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Used by all with access for wheelchairs,Kids,727153.1658,754281.6257,161
-694993.1845,7066574.539,53.449471,-6.24323,Cedar Green Play Area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,FCC,free,BalSwoOpArea@fingalcoco.ie,www.fingalcoco.ie/community-and-leisure/parks-and-open-spaces/playgrounds-and-games-areas/,(01) 890 5000,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Yes wheelchair accessible,Kids and parents,716689.8464,745814.6822,162
-692257.7307,7069578.612,53.465539,-6.218657,Swords Skatepark,LEA7 - Swords,Skate Park,"Playground, MUGA, Outdoor Gyms, Tennis",Single,Skate Park,Non Commercial,FCC,free,no email,www.fingaldublin.ie/interior-pages/activities-attractions-amp-conference/fingal-for-kids,(01) 840 0077,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,718277.2373,747642.889,163
-693493.9336,7061491.443,53.422269,-6.229762,A.L.S.A.A. Sports Centre,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Athletics,Non Commercial,Yes,membership,info@alsaa.ie,https://www.alsaa.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime/Evening,Yes,All ages,717659.4765,742810.3379,164
-692462.5585,7068539.172,53.45998,-6.220497,Swords Castle,LEA7 - Swords,Heritage Site Which Caters For Sport,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Variety,Non Commercial,No,entry fee,no email,https://bit.ly/2HFUGPp,(01) 8400891,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,718170.5158,747021.3473,165
-686658.5829,7073474.12,53.486366,-6.168359,Newbridge House,LEA-5 - Lusk-Rush,Heritage Site Which Caters For Sport,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Variety,Non Commercial,No,entry fee,info@newbridgehouseandfarm.com,www.newbridgehouseandfarm.com,(01) 843 6534,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Multiple,Entry fee/Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,721557.0387,750044.6988,166
-700471.5506,7092182.242,53.586245,-6.292443,Clann Mhuire GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.clannmhuire.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes with regards to wheelchair access though it is unknow if any activities for the disabled are organised.,All ages,713056.4973,760952.9584,167
-681191.3488,7074433.187,53.491492,-6.119246,Portrane AFC Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,info@portraneafc.com,http://portraneafc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,724801.0393,750699.8953,168
-692765.2362,7070923.97,53.472733,-6.223216,Swords Celtic FC - All Weather Pitch,LEA7 - Swords,All Weather Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.swordscelticfc.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717954.607,748435.7358,169
-700455.7432,7067058.688,53.452061,-6.292301,Playground,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Kids play area,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No wheelchair access due to curb,Kids,713423.7881,746023.6662,170
-695027.8049,7057607.035,53.40147,-6.243541,CLONLIFFE HARRIERS A.C.,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,Athletics,Non Commercial,No,membership,no email,https://clonliffeharriersac.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,716800.7125,740473.625,171
-694270.2757,7062272.513,53.42645,-6.236736,A.L.S.A SWIMMING POOL,LEA7 - Swords,Private Leisure Facility,Watersports,Multiple,Swimming Pool,Non Commercial,Yes,membership,info@alsaa.ie,https://www.alsaa.ie/swimming-club/,(01) 488 0400,Watersports,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime/Evening,Yes,Could not be fully determined on visit,717184.4895,743264.0309,172
-691771.5984,7069603.108,53.46567,-6.21429,Sluagh hall,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Single,Boxing,Non Commercial,No,entry fee,no email,https://www.facebook.com/pg/SwordsBC/posts/,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,718566.8041,747664.718,173
-688809.0528,7097084.266,53.612377,-6.187677,BALBRIGGAN BRIDGE CLUB,LEA-5 - Balbriggan,Bridge Club,Other,Single,Bridge,Non Commercial,No,membership,no email,https://www.bridgewebs.com/balbriggan/,N/A,Indoor,Good,Could not be fully determined,197,Single Entry,Annual,Weekday Evening/ Daytime Weekends,"Modified toilet, front door does not comply. Have special chairs for disabled persons.",25 to 92,719918.2926,764031.936,174
-692516.7711,7068151.217,53.457905,-6.220984,KF Martial Arts,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Martial arts,Commercial,No,membership,no email,http://www.sbgireland.com/,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,718143.9399,746789.6772,175
-687588.5459,7081147.28,53.52736,-6.176713,Round Towers GAA Club,LEA-5 - Lusk-Rush,Gaa Club,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.roundtowerslusk.ie/Pages/Default.aspx,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,720885.9572,754591.447,176
-685772.7024,7092249.378,53.586603,-6.160401,HERITAGE CENTRE,LEA-5 - Balbriggan,Heritage Site Which Caters For Sport,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Variety,Non Commercial,No,free,no email,,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Entry Fee,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,721797.0491,761210.62,177
-686947.123,7081445.417,53.528952,-6.170951,Library,LEA-5 - Lusk-Rush,Library,Other,Multiple,Library,Non Commercial,FCC,free,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,721263.3978,754778.3659,178
-681878.524,7071430.082,53.475439,-6.125419,DONABATE CARAVAN PARK,LEA-5 - Lusk-Rush,Caravan Park,Other,Single,Caravan Park,Commercial,No,membership,no email,,N/A,Indoor/Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Entry Fee,Daytime/Evening,Could not be fully determined on visit,All ages,724438.4404,748903.0786,179
-692901.38,7099995.739,53.62789,-6.224439,KNOCKNAGIN EQUESTRIAN CENTRE,LEA-5 - Balbriggan,Equestrian,Other,Single,Horse riding,Commercial,No,entry fee,no email,,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages assumed,717442.9698,765696.6187,180
-705888.5797,7075895.584,53.499307,-6.341105,WHITESTOWN STABLES,LEA-5 - Lusk-Rush,Equestrian,Other,Single,Horse riding,Commercial,No,entry fee,no email,N/A,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,710060.1977,751203.8101,181
-692821.7865,7072173.596,53.479414,-6.223724,BALHEARY GOLF CLUB,LEA7 - Swords,Golf Club,Other,Single,Golf,Non Commercial,No,membership,info@balhearypar3.ie,http://www.visitswords.ie/activitie/balheary-golf-club/,N/A,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,All ages,717902.3611,749178.2209,182
-694635.9603,7072857.317,53.483069,-6.240021,PATRICK MCCORMACK GUN CLUB,LEA7 - Swords,Gun Club,Other,Single,Shooting,Commercial,No,membership,no email,https://www.facebook.com/PatMcCormackClayPigeonShooting/,N/A,Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716810.6865,749558.043,183
-706137.1561,7071216.86,53.474299,-6.343338,Thornton Park Equestrian Centre,LEA7 - Swords,Equestrian,Other,Single,Horse riding,Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,709976.7391,748417.9278,184
-700634.411,7069875.753,53.467128,-6.293906,DYMPHNA'S EQUESTRIAN CENTRE,LEA7 - Swords,Equestrian,Other,Single,Horse Riding,Commercial,No,entry fee,no email,http://www.dymphnasequestriancentre.ie/,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,713277.0776,747697.477,185
-684466.3682,7087086.654,53.559064,-6.148666,BALCUNNIN EQUESTRIAN CENTRE,LEA-5 - Balbriggan,Equestrian,Other,Single,Horse Riding,Commercial,No,entry fee,no email,https://www.facebook.com/pages/Balcunnin-Equestrian-Centre/136589003070093,(01) 849 0964,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,722653.6131,758166.7779,186
-694721.3423,7059980.334,53.414179,-6.240788,ROYAL COLLEGE OF SURGEONS OF IRELAND SPORTS GROUND,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,All sports,Commercial,No,membership,no email,https://www.rcsi.com/dublin/student-life/life-on-campus/sports,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes wheelchair unsure after,All college students,716948.8955,741892.1227,187
-692599.7264,7068336.947,53.4588984,-6.2217292,DOWN DOG HOT YOGA,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Yoga,Commercial,No,entry fee,no email,https://www.downdogstudios.ie/timetable,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,718091.6991,746898.9676,188
-692598.4796,7068346.969,53.458952,-6.221718,IMAGE HEALTH & FITNESS STUDIO,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,entry fee,no email,https://www.imageft.ie/about-us/,N/A,Indoor,Good,gym and classrooms,50 per week,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,"No, but looking into it",16 to 60,718092.2941,746904.9497,189
-677560.2183,7080856.645,53.525808,-6.086627,NORTH BEACH CARAVAN PARK,LEA-5 - Lusk-Rush,Caravan Park,Other,Single,Caravan Park,Commercial,No,entry fee,info@northbeach.ie,http://www.northbeach.ie/,N/A,Indoor/Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,726862.7631,754575.4315,190
-710019.7573,7088360.76,53.565862,-6.378216,Garristown GAA CLUB,LEA-5 - Lusk-Rush,Gaa Club,Pitch Sport,Multiple,GAA,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,"Yes wheelchair, no known classes for the disabled as no one on site during visit.",All ages,707429.6356,758552.2572,191
-694211.3877,7059395.207,53.411046,-6.236207,CROSSFIT SWORDS,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,membership,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717262.0223,741551.0685,192
-682108.1761,7070434.349,53.470115,-6.127482,CORBALLIS CARAVAN PARK,LEA-5 - Lusk-Rush,Caravan Park,Other,Single,Caravan Park,Commercial,No,entry fee,no email,https://www.facebook.com/pages/Donabate-Caravan-Park/243306749048392,N/A,Indoor/Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,724317.0701,748307.1424,193
-688406.8555,7094673.019,53.599525,-6.184064,Platinum Gyms,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,membership,info@platinumgyms.ie,https://www.platinumgyms.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,720193.8279,762608.1032,194
-688406.8555,7094673.019,53.599525,-6.184064,D.P. GYMNASTICS,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Multiple,Gymnastics,Commercial,No,membership,no email,https://www.dpgymnasticsclub.com/,N/A,Indoor,Good,we have approx 1100 members using our facility on a weekly basis?ï¿½ï¿½ï¿½ï¿½?ï¿½?ï¿½,Depending on time of day between 20 and 60 per class,Multiple,Annual/per Session,Daytime,Due to the nature of the sport certain physical disabilities cannot be catered for but where we can yes we integrate into our classes in balbriggan and in Drogheda we have a specific class GymABLE which caters for all disabilities.,2yrs - adult,720193.8279,762608.1032,195
-688484.6678,7081199.528,53.527639,-6.184763,LUSK GOLF CENTRE,LEA-5 - Lusk-Rush,Golf Club,Other,Single,Golf,Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,All ages,720351.4945,754608.8575,196
-703013.3085,7078410.64,53.512744,-6.315276,CABRAGH LODGE STABLES,LEA-5 - Lusk-Rush,Equestrian,Other,Single,Horse riding with no activity on site,Commercial,No,entry fee,no email,N/A,N/A,Indoor/Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,711738.3421,752739.0353,197
-679689.0922,7090991.522,53.579895,-6.105751,YOGANAMARA,LEA-5 - Balbriggan,Private Leisure Facility,Indoor Activity,Single,Yoga,Commercial,No,entry fee,no email,https://www.yoganamara.com/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,725434.8225,760559.1958,198
-689390.8085,7074370.879,53.491159,-6.192903,HEALTHIER IRELAND,LEA-5 - Lusk-Rush,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,membership,no email,,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,719914.8095,750536.3841,199
-684486.851,7073695.26,53.487548,-6.14885,COMMUNITY WELL (YOGA),LEA-5 - Lusk-Rush,Private Leisure Facility,Indoor Activity,Single,"Yoga, meditation , acupuncture",Commercial,No,entry fee,no email,http://communitywelldonabate.com/,N/A,Indoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime/Evening,Unsure but it seems no as no stairs for wheelchair  but may offer classes to those suffering from autism etc,Could not be fully determined on visit,722848.2088,750209.6572,200
-695158.16,7100480.056,53.63047,-6.244712,HOPYARD LODGE EQUESTRIAN CENTRE,LEA-5 - Lusk-Rush,Equestrian,Other,Single,Horse Riding,Commercial,No,entry fee,no email,,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716095.0712,765950.4004,201
-687016.1411,7070678.408,53.47142,-6.171571,KILCREA EQUESTRIAN CENTRE,LEA-5 - Lusk-Rush,Equestrian,Other,Single,Horse Riding,Commercial,No,entry fee,no email,https://www.facebook.com/Kilcrea-Equestrian-Centre-171893226216625/,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,721386.5553,748376.3523,202
-682558.3521,7070342.898,53.469626,-6.131526,HANDS CARAVAN PARK,LEA-5 - Lusk-Rush,Caravan Park,Other,Single,Caravan Park,Commercial,No,membership,no email,,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Entry Fee,Daytime/Evening,Could not be fully determined on visit,Could not be fully determined on visit,724050.0415,748245.6925,203
-681732.2502,7090975.772,53.579811,-6.124105,MOURNE CELTIC FOOTBALL CLUB,LEA-5 - Balbriggan,Football Club,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,https://www.facebook.com/mournecelticfc/,(01) 849 5270,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,724219.8182,760517.6649,204
-697788.7509,7065929.301,53.446019,-6.268343,MONKSFIELD EQUESTRIAN LIMITED,LEA7 - Swords,Equestrian,Other,Single,Horse riding,Commercial,No,entry fee,no email,https://www.facebook.com/MonksField-Equestrian-300186260152345/,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,715031.2428,745389.8106,205
-705665.718,7081071.062,53.526953,-6.339103,Rye House Stables,LEA-5 - Lusk-Rush,Equestrian,Other,Single,Horse riding,Commercial,No,entry fee,no email,,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,710121.3014,754282.859,206
-699915.7324,7066513.228,53.449143,-6.28745,WILLBOROUGH STABLES,LEA7 - Swords,Equestrian,Other,Single,Horse riding,Commercial,No,entry fee,no email,,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,713753.7571,745706.7361,207
-709751.5886,7087051.609,53.558877,-6.375807,QUINN'S STABLES,LEA-5 - Lusk-Rush,Equestrian,Other,Single,Horse riding,Commercial,No,entry fee,no email,https://www.facebook.com/quinn.stables/,N/A,Indoor/Outdoor,Could not be fully determined on visit,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,707606.9279,757778.7179,208
-686105.4364,7081803.308,53.530863,-6.16339,Lusk United Football Club,LEA-5 - Lusk-Rush,Football Club,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,721759.1488,755003.8809,209
-693619.0567,7058600.974,53.406793,-6.230886,Grange Gymnastics Club,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Gymnastics,Commercial,No,membership,no email,http://www.grangegymnastics.com/,(01) 857 9645,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All,717627.4798,741086.6448,210
